pitch_location,pitch_category_breaking_pitch,pitch_category_offspeed_pitch,pitch_category_fastballs,pitch_category_other,dec_states,error_in_decision,post_s0,post_s1,post_s2,post_s3,post_s4,post_s5,post_s6,post_s7,post_s8,post_s9,post_s10,post_s11
0.2100000000000002,0,1,0,0,0,correct,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0809999999999999,0,1,0,0,8,correct,0.0,0.0,0.0,1.7653736937541087e-307,0.0,1.913120927833837e-269,0.0,0.0,1.0,0.0,0.0,0.0
0.2009999999999999,1,0,0,0,4,do_nothing,0.0,0.0,0.0,5.90782613983719e-98,1.0,3.229518757434916e-127,1.060620906229377e-245,0.0,0.0,1.6806078603841236e-158,0.0,0.0
0.3189999999999999,0,0,1,0,9,correct,0.0,0.0,1.0751033783698317e-257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0409999999999999,0,0,1,0,7,incorrect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6400000000000001,0,0,1,0,10,correct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7909999999999999,0,0,1,0,1,do_nothing,0.0,1.0,0.0,0.0,0.0,0.0,2.3857854907767103e-308,0.0,0.0,4.310307288368636e-247,0.0,0.0
0.0699999999999998,0,0,1,0,2,correct,0.0,9.226907773533151e-10,0.9999999990773176,2.475458364154122e-233,0.0,0.0,7.69069598721155e-251,0.0,0.0,4.9332983863416593e-200,0.0,0.0
0.2709999999999999,0,0,1,0,2,do_nothing,0.0,1.2361917535420432e-104,1.0,4.8677187899222254e-172,0.0,1.5973693301071015e-219,8.714695586739509e-177,0.0,0.0,1.9757343226909255e-122,0.0,0.0
0.4500000000000002,0,0,1,0,2,correct,0.0,9.118034438194985e-200,1.0,3.4630694293965634e-111,0.0,1.1364257328212248e-158,6.19994645737047e-116,0.0,0.0,1.4056081357305714e-61,0.0,0.0
0.2209999999999999,0,0,1,0,9,do_nothing,2.064620875612505e-213,7.061442924448747e-196,4.6705715952783284e-08,7.419557940630035e-102,0.0,6.188044303613141e-163,1.4733099052959117e-91,8.230135214156003e-110,0.0,0.9999999532942648,0.0,5.12560414233803e-203
